City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,251.16,64,40,7.72,GL,1706904764
1,ust-tsilma,65.441,52.1498,265.04,93,100,4.24,RU,1706904764
2,mandera,3.9366,41.867,307.76,29,100,2.24,KE,1706904765
3,port-aux-francais,-49.35,70.2167,280.86,95,56,8.07,TF,1706904765
4,chonchi,-42.6128,-73.8092,292.71,47,80,4.16,CL,1706904765
5,udachny,66.4167,112.4,242.7,77,88,1.36,RU,1706904766
6,boguchany,58.3814,97.4531,247.51,100,87,0.89,RU,1706904767
7,grytviken,-54.2811,-36.5092,280.15,60,98,6.98,GS,1706904768
8,waitangi,-43.9535,-176.5597,289.72,93,100,1.79,NZ,1706904769
9,kotri,25.366,68.3122,293.94,16,46,3.7,PK,1706904771
10,ushuaia,-54.8,-68.3,278.18,99,100,1.65,AR,1706904772
11,dawei,14.0833,98.2,294.77,85,14,1.24,MM,1706904773
12,chichiriviche,10.9333,-68.2772,300.38,78,35,4.6,VE,1706904773
13,puerto natales,-51.7236,-72.4875,284.4,93,75,3.09,CL,1706904773
14,edinburgh of the seven seas,-37.0676,-12.3116,292.01,93,15,6.49,SH,1706904774
15,vorkuta,67.5,64.0,255.47,94,100,1.88,RU,1706904774
16,homer,59.6425,-151.5483,262.08,61,0,5.14,US,1706904775
17,praia da vitoria,38.7333,-27.0667,290.79,93,67,4.23,PT,1706904775
18,papatowai,-46.5619,169.4708,282.48,76,100,5.06,NZ,1706904776
19,lebu,-37.6167,-73.65,292.83,81,39,5.4,CL,1706904778
20,yellowknife,62.456,-114.3525,262.75,96,100,3.09,CA,1706904575
21,ust-nera,64.5667,143.2,244.8,100,100,1.17,RU,1706904779
22,georgetown,5.4112,100.3354,301.11,89,20,0.0,MY,1706904755
23,bikenibeu village,1.3673,173.1241,303.13,84,40,3.6,KI,1706904781
24,toliara,-23.35,43.6667,298.61,83,92,4.44,MG,1706904781
25,east london,-33.0153,27.9116,297.63,83,100,9.08,ZA,1706904781
26,sitka,57.0531,-135.33,272.09,80,100,3.6,US,1706904782
27,hammerfest,70.6634,23.6821,266.4,86,0,1.03,NO,1706904782
28,maumere,-8.6199,122.2111,299.84,82,37,1.35,ID,1706904782
29,mount pearl,47.5166,-52.7813,272.51,83,100,1.79,CA,1706904783
30,pahrump,36.2083,-115.9839,283.62,72,98,1.79,US,1706904589
31,kachug,53.9606,105.8817,244.85,100,70,0.45,RU,1706904784
32,whitehorse,60.7161,-135.0538,250.43,58,72,1.79,CA,1706904784
33,colonia,50.9333,6.95,282.57,79,100,7.72,DE,1706904784
34,mil'kovo,55.6078,37.7956,271.23,76,100,6.67,RU,1706904785
35,yuanping,38.7153,112.7575,268.41,62,62,0.56,CN,1706904785
36,las lajitas,-24.6833,-64.25,310.69,27,17,3.52,AR,1706904687
37,klyuchi,52.2667,79.1667,262.86,93,100,5.4,RU,1706904786
38,jose bonifacio,-21.0528,-49.6883,303.84,36,84,3.14,BR,1706904786
39,extrema,-22.8547,-46.3183,292.22,95,98,1.69,BR,1706904786
40,iqaluit,63.7506,-68.5145,248.0,64,20,6.69,CA,1706904787
41,kingston,17.997,-76.7936,300.68,69,40,2.57,JM,1706904008
42,cabo san lucas,22.8909,-109.9124,299.05,57,0,5.66,MX,1706904607
43,ovruch,51.3246,28.8035,272.9,85,94,4.33,UA,1706904788
44,brisas de zicatela,15.8369,-97.0419,302.44,65,75,5.14,MX,1706904788
45,vorgashor,67.5833,63.95,255.64,93,100,2.34,RU,1706904789
46,colac,-38.3333,143.5833,283.8,92,2,0.19,AU,1706904789
47,bowen,-20.0167,148.2333,299.03,79,100,1.95,AU,1706904790
48,ribeira grande,38.5167,-28.7,290.8,94,40,4.63,PT,1706904790
49,isafjordur,66.0755,-23.124,268.17,84,63,5.41,IS,1706904790
50,manturovo,58.3353,44.7619,268.03,95,97,3.56,RU,1706904791
51,mukalla,14.5425,49.1242,296.74,78,4,0.72,YE,1706904791
52,the pas,53.8251,-101.2541,277.16,70,0,6.69,CA,1706904791
53,port lincoln,-34.7333,135.8667,291.17,88,0,2.55,AU,1706904792
54,villa gesell,-37.2639,-56.973,303.18,37,100,9.76,AR,1706904792
55,olonkinbyen,70.9221,-8.7187,267.97,59,100,8.33,SJ,1706904792
56,st. john's,47.5649,-52.7093,272.97,82,100,0.45,CA,1706904719
57,cantaura,9.3057,-64.3584,309.06,29,100,3.19,VE,1706904793
58,hawaiian paradise park,19.5933,-154.9731,295.39,95,100,3.6,US,1706904793
59,ubinskoye,55.3068,79.6802,263.14,94,100,5.83,RU,1706904794
60,sault ste. marie,46.5168,-84.3333,275.46,44,0,3.09,CA,1706904620
61,qarazhal,48.0078,70.7903,260.45,89,100,7.02,KZ,1706904795
62,wailua homesteads,22.0669,-159.378,296.39,70,0,8.23,US,1706904795
63,adamstown,-25.066,-130.1015,297.92,82,39,4.39,PN,1706904796
64,tanjung pandan,-2.75,107.65,298.63,90,100,3.56,ID,1706904796
65,stanley,54.868,-1.6985,284.16,86,75,10.8,GB,1706904796
66,callao,-12.0667,-77.15,300.31,61,75,6.17,PE,1706904797
67,umba,66.6871,34.3429,257.15,99,58,1.17,RU,1706904797
68,rakops,-21.0167,24.3333,299.07,35,51,4.55,BW,1706904797
69,tralee,52.2704,-9.7026,284.68,94,100,4.3,IE,1706904798
70,san salvador de jujuy,-24.1946,-65.2971,305.09,36,34,1.75,AR,1706904798
71,el calafate,-50.3408,-72.2768,287.76,64,100,6.31,AR,1706904799
72,bilibino,68.0546,166.4372,242.69,92,40,2.32,RU,1706904799
73,mangrol,21.1167,70.1167,295.4,64,4,2.74,IN,1706904556
74,hamilton,39.1834,-84.5333,282.92,63,75,5.66,US,1706904800
75,jinchang,38.4953,102.1739,265.92,96,100,0.88,CN,1706904800
76,dunbar,38.3606,-81.7374,284.38,53,75,4.47,US,1706904800
77,port elizabeth,-33.918,25.5701,294.87,95,100,4.12,ZA,1706904801
78,kokshetau,53.2775,69.3883,258.12,94,96,3.19,KZ,1706904801
79,dire,12.2833,-10.9667,302.83,14,67,1.85,ML,1706904802
80,kirovgrad,57.4297,60.0597,256.61,99,100,1.87,RU,1706904802
81,necochea,-38.5473,-58.7368,309.41,24,100,5.66,AR,1706904802
82,sufalat sama'il,23.3167,58.0167,296.97,74,26,2.18,OM,1706904803
83,bethel,41.3712,-73.414,279.57,79,100,3.6,US,1706904769
84,punta arenas,-53.15,-70.9167,278.21,93,100,7.2,CL,1706904594
85,kone,-21.0595,164.8658,299.7,88,100,2.83,NC,1706904804
86,tolanaro,-25.0319,46.9987,296.62,75,100,5.67,MG,1706904804
87,kovel,51.2153,24.7087,274.17,84,100,5.82,UA,1706904804
88,linhares,-19.3911,-40.0722,300.18,83,99,2.53,BR,1706904805
89,punta cardon,11.6581,-70.215,301.33,68,36,8.35,VE,1706904805
90,shingu,33.7333,135.9833,275.44,72,2,2.68,JP,1706904805
91,ta`u,-14.2336,-169.5144,301.13,82,100,6.03,AS,1706904806
92,dunedin,-45.8742,170.5036,284.15,72,81,3.85,NZ,1706904806
93,areia branca,-4.9561,-37.1369,302.57,69,19,9.54,BR,1706904807
94,la passe,45.5549,-0.8967,283.14,90,12,2.83,FR,1706904807
95,tual,-5.6667,132.75,301.81,78,86,7.19,ID,1706904807
96,palmer,42.1584,-72.3287,279.18,68,75,6.17,US,1706904808
97,bamboo flat,11.7,92.7167,298.75,75,1,3.15,IN,1706904809
98,bredasdorp,-34.5322,20.0403,294.6,91,3,1.98,ZA,1706904809
99,papao,-17.75,-149.55,302.97,75,100,4.45,PF,1706904809
100,albany,42.6001,-73.9662,277.92,77,96,1.34,US,1706904707
101,usinsk,65.9939,57.5281,262.08,95,70,4.92,RU,1706904810
102,anadyr,64.75,177.4833,257.43,55,100,12.0,RU,1706904810
103,guerrero negro,27.9769,-114.0611,291.87,53,0,7.15,MX,1706904811
104,constantia,44.1833,28.65,276.53,71,76,4.71,RO,1706904811
105,margaret river,-33.95,115.0667,291.05,95,85,3.51,AU,1706904811
106,kodiak,57.79,-152.4072,261.88,79,75,2.06,US,1706904812
107,sinabang,2.4803,96.3801,299.35,82,95,0.89,ID,1706904812
108,fortuna,40.5982,-124.1573,283.66,84,75,2.57,US,1706904650
109,kirakira,-10.4544,161.9205,300.48,85,99,3.84,SB,1706904813
110,petropavlovsk-kamchatsky,53.0452,158.6483,253.4,75,0,4.47,RU,1706904813
111,susuman,62.7833,148.1667,239.81,100,94,1.34,RU,1706904814
112,west island,-12.1568,96.8225,300.14,89,24,1.54,CC,1706904814
113,todos santos,23.45,-110.2167,299.43,64,0,5.63,MX,1706904814
114,lysyye gory,51.5506,44.8414,271.28,92,91,6.98,RU,1706904815
115,labrador city,52.9463,-66.9114,258.1,47,0,0.0,CA,1706904815
116,port saint john's,-31.6229,29.5448,297.37,83,99,7.29,ZA,1706904815
117,tazovsky,67.4667,78.7,262.02,91,100,6.58,RU,1706904816
118,saint-philippe,-21.3585,55.7679,297.92,81,76,7.01,RE,1706904816
119,fitzgerald,31.7149,-83.2526,294.02,28,0,2.57,US,1706904816
120,kailua-kona,19.6406,-155.9956,295.13,99,100,5.66,US,1706904817
121,namibe,-15.1961,12.1522,298.19,88,100,3.11,AO,1706904817
122,eyl,7.9803,49.8164,297.15,83,100,5.25,SO,1706904817
123,nizhniy ingash,56.2,96.53,252.78,100,93,1.82,RU,1706904818
124,tiksi,71.6872,128.8694,246.51,100,92,1.55,RU,1706904818
125,slaton,33.4373,-101.6435,295.49,27,77,7.83,US,1706904809
126,aasiaat,68.7098,-52.8699,248.19,98,100,2.04,GL,1706904819
127,nago,26.5881,127.9761,292.12,84,12,1.13,JP,1706904819
128,port mathurin,-19.6833,63.4167,300.61,78,99,10.26,MU,1706904820
129,college,64.8569,-147.8028,234.51,64,75,0.0,US,1706904820
130,magdagachi,53.45,125.8,244.93,99,8,1.42,RU,1706904820
131,tamanrasset,22.785,5.5228,287.1,15,0,2.06,DZ,1706904821
132,beardstown,40.0176,-90.4243,283.01,64,6,1.34,US,1706904821
133,luderitz,-26.6481,15.1594,293.07,90,100,3.23,NA,1706904821
134,tofol,5.3248,163.0078,301.17,81,100,6.54,FM,1706904822
135,geraldton,-28.7667,114.6,294.38,83,5,2.57,AU,1706904822
136,amlapura,-8.45,115.6167,298.99,85,62,0.96,ID,1706904822
137,molteno,-31.3968,26.3625,293.8,53,100,1.58,ZA,1706904654
138,saint-francois,46.4154,3.9054,276.86,94,78,1.54,FR,1706904823
139,neryungri,56.6709,124.6491,237.46,100,92,1.0,RU,1706904824
140,saint-louis,16.3333,-15.0,300.8,12,0,4.56,SN,1706904824
141,saldanha,-33.0117,17.9442,291.64,97,46,3.79,ZA,1706904824
142,kamiichi,36.7,137.3667,274.69,79,45,1.4,JP,1706904825
143,new plymouth,-39.0667,174.0833,290.27,66,19,8.93,NZ,1706904825
144,blackmans bay,-43.0167,147.3167,284.22,75,3,0.45,AU,1706904825
145,yelizovo,53.1873,158.3805,254.15,63,0,2.0,RU,1706904826
146,hadibu,12.65,54.0333,298.3,79,37,2.49,YE,1706904826
147,brookings,44.3114,-96.7984,278.15,85,100,7.2,US,1706904664
148,al jawf,29.5,38.75,281.95,55,8,3.36,SA,1706904827
149,goondiwindi,-28.55,150.3167,297.75,72,0,5.42,AU,1706904827
150,grand island,40.925,-98.342,286.04,79,100,6.17,US,1706904828
151,cole harbour,44.6724,-63.4751,274.24,96,100,4.12,CA,1706904828
152,yung shue wan,22.2333,114.1167,293.33,92,100,7.96,HK,1706904828
153,avarua,-21.2078,-159.775,301.18,83,75,2.06,CK,1706904829
154,saipan,15.1355,145.701,299.54,73,40,8.75,MP,1706904829
155,westport,41.1415,-73.3579,279.97,80,100,4.63,US,1706904732
156,willowmore,-33.2926,23.4895,300.25,40,100,4.36,ZA,1706904830
157,aykhal,66.0,111.5,245.81,69,39,1.74,RU,1706904830
158,jamestown,42.097,-79.2353,275.38,93,100,4.12,US,1706904709
159,dolinsk,47.35,142.8,257.44,92,57,1.94,RU,1706904831
160,nar'yan-mar,67.6713,53.087,267.1,89,100,10.28,RU,1706904831
161,ustyuzhna,58.8394,36.4321,267.58,92,100,5.38,RU,1706904832
162,ust'-kalmanka,52.1207,83.305,264.25,76,100,6.07,RU,1706904832
163,pacific grove,36.6177,-121.9166,286.98,85,75,3.13,US,1706904649
164,vilyuchinsk,52.9306,158.4028,254.22,82,12,4.42,RU,1706904833
165,arish,31.1316,33.7984,287.82,61,12,4.94,EG,1706904833
166,port alfred,-33.5906,26.891,297.13,85,100,9.73,ZA,1706904833
167,kidal,18.4411,1.4078,292.87,12,79,4.77,ML,1706904834
168,port moresby,-9.4431,147.1797,298.83,89,75,2.57,PG,1706904834
169,weno,7.4515,151.8468,300.12,94,100,5.14,FM,1706904835
170,remire-montjoly,4.9167,-52.2667,303.17,62,20,4.12,GF,1706904835
171,nellore,14.4333,79.9667,296.4,85,75,2.57,IN,1706904836
172,iskateley,67.6803,53.1512,267.05,89,100,10.28,RU,1706904836
173,beloyarskiy,63.7119,66.6722,258.15,94,100,2.68,RU,1706904837
174,nikol'sk,53.7189,46.0712,270.6,95,100,5.46,RU,1706904837
175,sudogda,55.9539,40.8629,267.99,91,100,4.48,RU,1706904837
176,tosontsengel,48.7567,98.2839,245.07,86,11,0.82,MN,1706904838
177,inirida,3.8653,-67.9239,302.37,74,97,0.16,CO,1706904838
178,yuzhno-kurilsk,44.0306,145.8556,265.03,64,100,14.45,RU,1706904839
179,broken hill,-31.95,141.4333,294.26,29,0,3.65,AU,1706904652
180,qaqortoq,60.7167,-46.0333,255.14,79,96,1.72,GL,1706904839
181,queenstown,-31.8976,26.8753,294.67,74,98,0.93,ZA,1706904840
182,selfoss,63.9331,-20.9971,270.4,71,100,18.53,IS,1706904840
183,harnai,30.1005,67.9374,282.43,68,100,1.25,PK,1706904841
184,tura,25.5198,90.2201,286.08,56,0,0.39,IN,1706904841
185,alofi,-19.0595,-169.9187,301.09,89,40,2.57,NU,1706904841
186,minab,27.1467,57.0801,292.47,62,43,11.27,IR,1706904842
187,uturoa,-16.7333,-151.4333,301.1,76,100,5.34,PF,1706904842
188,invercargill,-46.4,168.35,282.05,92,99,0.89,NZ,1706904842
189,tutoia,-2.7619,-42.2744,301.55,74,95,4.41,BR,1706904843
190,parabel',58.6978,81.4825,263.66,95,100,4.02,RU,1706904843
191,longyearbyen,78.2186,15.6401,262.06,73,75,2.57,SJ,1706904843
192,yarmouth,41.7057,-70.2286,278.76,89,100,5.36,US,1706904798
193,san andres,12.5847,-81.7006,301.16,65,75,5.14,CO,1706904760
194,palmares do sul,-30.2578,-50.5097,298.52,64,0,7.45,BR,1706904844
195,laguna,38.421,-121.4238,287.67,79,40,5.66,US,1706904823
196,souillac,-20.5167,57.5167,299.36,73,40,3.09,MU,1706904845
197,simplicio mendes,-7.8539,-41.9103,303.48,53,100,1.93,BR,1706904845
198,mazagao,-0.115,-51.2894,298.18,81,100,1.35,BR,1706904846
199,puerto ayora,-0.7393,-90.3518,305.13,80,96,5.4,EC,1706904846
200,nemuro,43.3236,145.575,263.78,66,94,11.55,JP,1706904846
201,sultanah,24.4926,39.5857,287.4,23,0,3.6,SA,1706904847
202,loa janan,-0.583,117.095,296.42,99,99,0.96,ID,1706904847
203,al qitena,14.8648,32.3668,292.15,13,16,5.58,SD,1706904848
204,vikulovo,56.8167,70.6107,246.4,100,100,1.7,RU,1706904848
205,kurumkan,54.3,110.3,248.22,90,19,1.79,RU,1706904849
206,dudinka,69.4058,86.1778,259.64,93,100,10.73,RU,1706904849
207,badger,64.8,-147.5333,234.46,63,75,0.0,US,1706904850
208,hermanus,-34.4187,19.2345,295.82,81,0,3.52,ZA,1706904850
209,galliano,29.4422,-90.2992,296.48,50,0,2.76,US,1706904841
210,novyy urgal,51.0736,132.5642,237.8,100,69,0.5,RU,1706904851
211,maamba,-17.3667,27.15,294.32,75,8,1.31,ZM,1706904851
212,bratsk,56.1325,101.6142,251.42,100,92,0.56,RU,1706904851
213,utrik,11.2278,169.8474,299.39,87,99,9.94,MH,1706904852
214,jumla,29.2747,82.1838,272.42,54,0,1.27,NP,1706904852
215,ulsan,35.5372,129.3167,277.28,82,93,2.46,KR,1706904852
216,ola,59.5833,151.2833,249.34,83,100,3.36,RU,1706904853
217,mitu,1.1983,-70.1733,302.0,73,100,0.48,CO,1706904853
218,tangalle,6.024,80.7911,297.59,89,82,4.7,LK,1706904853
219,dalian,38.9122,121.6022,266.11,53,0,3.0,CN,1706904760
220,valle de la pascua,9.2155,-66.0073,309.16,31,100,2.33,VE,1706904854
221,la ligua,-32.4524,-71.2311,303.7,33,2,4.56,CL,1706904854
222,sena madureira,-9.0656,-68.6569,307.4,44,100,0.57,BR,1706904855
223,kiunga,-6.1219,141.2906,296.89,99,100,0.85,PG,1706904855
224,derazhnya,49.2692,27.4338,272.34,91,100,5.1,UA,1706904856
225,aniva,46.7144,142.5294,246.21,95,29,3.17,RU,1706904856
226,okha,53.5739,142.9478,252.47,86,100,7.38,RU,1706904856
227,ginir,7.1333,40.7,289.59,47,76,1.58,ET,1706904857
228,arraial do cabo,-22.9661,-42.0278,300.13,89,75,4.63,BR,1706904857
229,ilebo,-4.3167,20.5833,294.28,97,100,0.76,CD,1706904857
230,huarmey,-10.0681,-78.1522,299.86,71,100,4.99,PE,1706904858
231,bardai,11.65,7.2333,292.71,19,18,4.43,NG,1706904858
232,laojunmiao,39.8333,97.7333,262.95,94,100,1.61,CN,1706904858
233,chelak,39.9203,66.8611,273.42,62,100,5.51,UZ,1706904859
234,nadi,-17.8,177.4167,301.15,78,75,2.06,FJ,1706904815
235,lihue,21.9789,-159.3672,296.73,69,0,8.23,US,1706904860
236,zyryanovsk,49.7386,84.2719,261.85,96,100,0.92,KZ,1706904860
237,la'ie,21.6477,-157.9253,297.13,68,70,2.68,US,1706904860
238,san antonio de pale,-1.4014,5.6325,301.06,79,95,2.68,GQ,1706904861
239,el colorado,-26.3081,-59.3729,314.08,17,0,2.55,AR,1706904861
240,uvira,-3.4067,29.1458,296.25,85,99,0.58,CD,1706904862
241,talnakh,69.4865,88.3972,258.82,94,100,7.16,RU,1706904862
242,babayevo,59.3936,35.9371,267.7,91,100,5.0,RU,1706904862
243,yeed,4.55,43.0333,305.52,27,100,5.08,SO,1706904863
244,trondheim,63.4305,10.3951,281.18,95,100,1.34,NO,1706904863
245,ingeniero guillermo n. juarez,-23.9,-61.85,314.76,17,61,2.86,AR,1706904864
246,malango,-2.9627,119.9001,292.54,96,97,1.33,ID,1706904864
247,severo-yeniseyskiy,60.3725,93.0408,247.36,100,80,1.34,RU,1706904865
248,ryotsu-minato,38.0833,138.4333,276.22,62,100,6.2,JP,1706904865
249,yangquan,37.8575,113.5633,268.09,88,98,0.91,CN,1706904865
250,buguruslan,53.6554,52.442,271.28,97,100,3.31,RU,1706904866
251,haiku-pauwela,20.9219,-156.3051,293.73,95,100,3.6,US,1706904866
252,plainfield,40.6168,-74.4173,280.51,77,100,3.09,US,1706904782
253,thompson,55.7435,-97.8558,272.24,93,100,2.57,CA,1706904867
254,enewetak,11.3474,162.3373,299.61,84,100,10.52,MH,1706904867
255,forster,-32.1667,152.5167,294.98,83,74,3.52,AU,1706904868
256,xiaoweizhai,26.1903,107.5125,281.12,99,100,1.53,CN,1706904869
257,gillette,44.2911,-105.5022,284.66,45,100,6.17,US,1706904606
258,kerikeri,-35.2268,173.9474,291.84,85,36,5.12,NZ,1706904630
259,jaguarari,-10.2639,-40.1958,301.87,42,82,4.35,BR,1706904870
260,fort st. john,56.2499,-120.8529,268.09,100,100,2.57,CA,1706904870
261,trenggalek,-8.05,111.7167,297.56,94,97,1.41,ID,1706904871
262,pemangkat,1.1667,108.9667,298.51,89,100,3.44,ID,1706904871
263,puerto aysen,-45.4,-72.7,288.22,83,84,3.7,CL,1706904871
264,whakatane,-37.9585,176.9854,290.1,88,99,0.89,NZ,1706904872
265,neuquen,-38.9516,-68.0591,309.94,10,0,8.4,AR,1706904625
266,antalaha,-14.9003,50.2788,297.98,89,58,2.39,MG,1706904872
267,same,-4.0667,37.7333,295.53,81,100,2.13,TZ,1706904873
268,ancud,-41.8697,-73.8203,290.14,76,45,5.04,CL,1706904876
269,bandarbeyla,9.4942,50.8122,297.39,80,91,3.22,SO,1706904877
270,langepas,61.2544,75.2124,251.97,100,96,2.68,RU,1706904880
271,mount gambier,-37.8333,140.7667,281.88,88,0,1.69,AU,1706904758
272,awjilah,29.1081,21.2869,287.14,53,100,1.31,LY,1706904883
273,rongelap,11.1635,166.8941,299.58,84,100,10.11,MH,1706904883
274,varna,43.2167,27.9167,276.73,70,69,1.54,BG,1706904697
275,kayenta,36.7278,-110.2546,277.77,64,100,8.12,US,1706904885
276,wilmington,34.2257,-77.9447,292.1,52,0,2.24,US,1706904885
277,debica,50.0515,21.4114,277.67,74,100,4.72,PL,1706904886
278,novyy urengoy,66.0833,76.6333,260.8,91,100,6.01,RU,1706904640
279,angaur state,6.906,134.13,300.6,82,39,9.8,PW,1706904887
280,fortaleza,-3.7227,-38.5247,304.86,87,75,6.17,BR,1706904888
281,hampton bays,40.869,-72.5176,279.77,82,100,2.57,US,1706904888
282,abyek,36.0667,50.55,270.96,71,100,2.19,IR,1706904888
283,okhotsk,59.3833,143.3,248.94,79,49,6.05,RU,1706904889
284,lerwick,60.1545,-1.1494,282.15,75,9,15.15,GB,1706904889
285,santa sylvina,-27.8326,-61.1375,314.22,13,0,3.71,AR,1706904890
286,vernon,50.2581,-119.2691,282.93,93,96,0.51,CA,1706904890
287,hithadhoo,-0.6,73.0833,301.67,75,28,5.09,MV,1706904890
288,south valley,35.0101,-106.6781,284.26,48,75,11.32,US,1706904891
289,faya-largeau,17.9257,19.1043,288.79,17,0,7.2,TD,1706904891
290,as sulayyil,20.4607,45.5779,291.29,23,0,6.3,SA,1706904891
291,touros,-5.1989,-35.4608,301.7,70,12,6.78,BR,1706904892
